team,color
Bucknell,#FF5F00
Butler,#003087
Cal Poly,#0B6B3A
Campbell,#F47A20
Central Arkansas,#4F2C85
Central Connecticut,#0033A0
Charleston Southern,#002A5C
Chattanooga,#0C2340
Clark Atlanta,#B31B1B
Colgate,#862633
College of Charleston,#6C1D45
Columbia,#0088CE
Cornell,#B31B1B
Dartmouth,#00693E
Davidson,#D52B1E
Dayton,#CF0A2C
Delaware,#00539B
Delaware State,#E51B24
Drake,#0061AA
Duquesne,#041E42
East Tennessee State,#041E42
Eastern Illinois,#0033A0
Eastern Kentucky,#800000
Eastern Washington,#E30B17
Elon,#7A0019
Florida A&M,#00563F
Fordham,#890024
Furman,#582C83
Gardner-Webb,#BE1E2D
Georgetown,#818181
Grambling State,#FFD100
Harvard,#A51C30
Holy Cross,#512698
Howard,#00205B
Idaho,#B3995D
Idaho State,#E87722
Illinois State,#D31145
Incarnate Word,#E4002B
Indiana State,#0072CE
Jackson State,#002147
Kennesaw State,#FDB913
Lafayette,#781214
Lamar,#A6192E
Lehigh,#6B4C27
Long Island,#7AC9E3
Maine,#003052
Marist,#C8102E
McNeese State,#00205B
Mercer,#FF8200
Merrimack,#142952
Mississippi Valley State,#007749
Missouri State,#4E2A84
Monmouth,#013E7C
Montana,#660000
Montana State,#003366
Morehead State,#0071BC
Morgan State,#0077C8
Murray State,#0C2340
New Hampshire,#003366
Nicholls State,#C8102E
Norfolk State,#18453B
North Alabama,#4F2C85
North Carolina A&T,#0033A0
North Carolina Central,#990000
North Dakota,#009A44
North Dakota State,#115740
Northern Arizona,#003366
Northern Colorado,#002F6C
Northern Iowa,#4F2C85
Northwestern State,#4F2C85
Penn,#990000
Portland State,#154734
Prairie View A&M,#5C068C
Presbyterian,#00205B
Princeton,#FF8F00
Rhode Island,#0098D8
Richmond,#BA0C2F
Robert Morris,#041E42
Sacramento State,#043927
Sacred Heart,#C8102E
Sam Houston State,#FF8200
Samford,#002F6C
San Diego,#003057
Savannah State,#F66733
Southeast Missouri State,#D50032
Southeastern Louisiana,#006A4D
Southern,#003087
Southern Illinois,#542E91
South Carolina State,#4F2C85
South Dakota,#A6192E
South Dakota State,#0033A0
Southern Utah,#B30C2B
Stephen F. Austin,#4F2C85
Stetson,#00563F
Stonehill,#A2AAAD
Stony Brook,#C60C30
Tarleton State,#582C83
Tennessee State,#00205B
Tennessee Tech,#7C878E
Texas Southern,#660000
The Citadel,#A7C6ED
Towson,#FFB612
UC Davis,#002855
Utah Tech,#D22630
Valparaiso,#866D4B
Villanova,#003366
VMI,#A6192E
Wagner,#006B54
Weber State,#4F2C85
Western Carolina,#633194
Western Illinois,#6F263D
William & Mary,#115740
Wofford,#A89968
Yale,#0F4D92
